Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area, loan_amount,Loan_Status
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,360,1,Urban,18200000, Approved
LP001205,Male,Yes,0,Graduate,No,2500,3796,360,1,Urban,18900000, Rejected
LP001206,Male,Yes,3+,Graduate,No,3029,0,360,1,Urban,30500000, Approved
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,180,0,Rural,28900000, Rejected
LP001213,Male,Yes,1,Graduate,No,4945,0,360,0,Rural,7500000, Approved
LP001222,Female,No,0,Graduate,No,4166,0,360,0,Semiurban,12300000, Approved
LP001225,Male,Yes,0,Graduate,No,5726,4595,360,1,Semiurban,10300000, Rejected
LP001228,Male,No,0,Not Graduate,No,3200,2254,180,0,Urban,29100000, Approved
LP001233,Male,Yes,1,Graduate,No,10750,0,360,1,Urban,10100000, Rejected
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,60,1,Urban,12400000, Approved
LP001241,Female,No,0,Graduate,No,4300,0,360,0,Semiurban,5000000, Rejected
LP001243,Male,Yes,0,Graduate,No,3208,3066,360,1,Urban,1500000, Rejected
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,360,1,Semiurban,18600000, Approved
LP001248,Male,No,0,Graduate,No,3500,0,300,1,Semiurban,18300000, Rejected
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,,0,Semiurban,16700000, Approved
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,360,1,Semiurban,8400000, Rejected
LP001255,Male,No,0,Graduate,No,3750,0,480,1,Urban,6500000, Approved
LP001256,Male,No,0,Graduate,No,3750,4750,360,1,Urban,14800000, Approved
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,360,1,Urban,33500000, Approved
LP001263,Male,Yes,3+,Graduate,No,3167,4000,300,0,Semiurban,29400000, Approved
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,360,,Semiurban,1400000, Approved
LP001265,Female,No,0,Graduate,No,3846,0,360,1,Semiurban,8900000, Rejected
LP001266,Male,Yes,1,Graduate,Yes,2395,0,360,1,Semiurban,31200000, Approved
LP001267,Female,Yes,2,Graduate,No,1378,1881,360,1,Urban,21200000, Rejected
LP001273,Male,Yes,0,Graduate,No,6000,2250,360,,Semiurban,8600000, Approved
LP001275,Male,Yes,1,Graduate,No,3988,0,240,1,Urban,8200000, Approved
LP001279,Male,No,0,Graduate,No,2366,2531,360,1,Semiurban,21200000, Rejected
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,360,,Semiurban,3800000, Rejected
LP001282,Male,Yes,0,Graduate,No,2500,2118,360,1,Semiurban,28300000, Rejected
LP001289,Male,No,0,Graduate,No,8566,0,360,1,Urban,8000000, Approved
LP001310,Male,Yes,0,Graduate,No,5695,4167,360,1,Semiurban,37600000, Approved
LP001316,Male,Yes,0,Graduate,No,2958,2900,360,1,Semiurban,21100000, Rejected
LP001318,Male,Yes,2,Graduate,No,6250,5654,180,1,Semiurban,20700000, Rejected
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,360,1,Urban,8900000, Approved
LP001322,Male,No,0,Graduate,No,4133,0,360,1,Semiurban,6400000, Rejected
LP001325,Male,No,0,Not Graduate,No,3620,0,120,1,Semiurban,2000000, Rejected
LP001326,Male,No,0,Graduate,,6782,0,360,,Urban,1100000, Approved
LP001327,Female,Yes,0,Graduate,No,2484,2302,360,1,Semiurban,15000000, Rejected
LP001333,Male,Yes,0,Graduate,No,1977,997,360,1,Semiurban,25000000, Approved
LP001334,Male,Yes,0,Not Graduate,No,4188,0,180,1,Semiurban,29400000, Approved
LP001343,Male,Yes,0,Graduate,No,1759,3541,360,1,Semiurban,10800000, Rejected
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,180,1,Urban,900000, Rejected
LP001349,Male,No,0,Graduate,No,4843,3806,360,1,Semiurban,1100000, Approved
LP001350,Male,Yes,,Graduate,No,13650,0,360,1,Urban,12900000, Approved
LP001356,Male,Yes,0,Graduate,No,4652,3583,360,1,Semiurban,4500000, Approved
LP001357,Male,,,Graduate,No,3816,754,360,1,Urban,23600000, Rejected
LP001367,Male,Yes,1,Graduate,No,3052,1030,360,1,Urban,9700000, Approved
LP001369,Male,Yes,2,Graduate,No,11417,1126,360,1,Urban,18100000, Approved
LP001370,Male,No,0,Not Graduate,,7333,0,360,1,Rural,10600000, Approved
LP001379,Male,Yes,2,Graduate,No,3800,3600,360,0,Urban,35900000, Approved
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,480,1,Semiurban,6800000, Rejected
LP001385,Male,No,0,Graduate,No,5316,0,360,1,Urban,1100000, Approved
LP001387,Female,Yes,0,Graduate,,2929,2333,360,1,Semiurban,18200000, Rejected
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,,0,Rural,19700000, Rejected
LP001392,Female,No,1,Graduate,Yes,7451,0,360,1,Semiurban,22100000, Approved
LP001398,Male,No,0,Graduate,,5050,0,360,1,Semiurban,23400000, Rejected
LP001401,Male,Yes,1,Graduate,No,14583,0,180,1,Rural,10800000, Approved
LP001404,Female,Yes,0,Graduate,No,3167,2283,360,1,Semiurban,23200000, Rejected
LP001405,Male,Yes,1,Graduate,No,2214,1398,360,,Urban,1600000, Approved
LP001421,Male,Yes,0,Graduate,No,5568,2142,360,1,Rural,15800000, Rejected
LP001422,Female,No,0,Graduate,No,10408,0,360,1,Urban,32900000, Approved
LP001426,Male,Yes,,Graduate,No,5667,2667,360,1,Rural,2300000, Rejected
LP001430,Female,No,0,Graduate,No,4166,0,360,1,Semiurban,3200000, Rejected
LP001431,Female,No,0,Graduate,No,2137,8980,360,0,Semiurban,32900000, Approved
LP001432,Male,Yes,2,Graduate,No,2957,0,360,1,Semiurban,18700000, Approved
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,360,1,Rural,19500000, Approved
LP001443,Female,No,0,Graduate,No,3692,0,360,,Rural,600000, Approved
LP001448,,Yes,3+,Graduate,No,23803,0,360,1,Rural,800000, Approved
LP001449,Male,No,0,Graduate,No,3865,1640,360,1,Rural,18200000, Rejected
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,180,0,Urban,2600000, Rejected
LP001465,Male,Yes,0,Graduate,No,6080,2569,360,,Rural,1200000, Approved
LP001469,Male,No,0,Graduate,Yes,20166,0,480,,Urban,20800000, Approved
LP001473,Male,No,0,Graduate,No,2014,1929,360,1,Urban,22600000, Rejected
LP001478,Male,No,0,Graduate,No,2718,0,360,1,Semiurban,3600000, Rejected
LP001482,Male,Yes,0,Graduate,Yes,3459,0,120,1,Semiurban,13900000, Rejected
LP001487,Male,No,0,Graduate,No,4895,0,360,1,Semiurban,5500000, Approved
LP001488,Male,Yes,3+,Graduate,No,4000,7750,360,1,Semiurban,5500000, Rejected
LP001489,Female,Yes,0,Graduate,No,4583,0,360,1,Rural,16700000, Approved
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,360,1,Urban,6700000, Rejected
LP001492,Male,No,0,Graduate,No,14999,0,360,0,Semiurban,8500000, Approved
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,360,1,Rural,700000, Rejected
LP001497,Male,Yes,2,Graduate,No,5042,2083,360,1,Rural,9400000, Approved
LP001498,Male,No,0,Graduate,No,5417,0,360,1,Urban,7500000, Approved
LP001504,Male,No,0,Graduate,Yes,6950,0,180,1,Semiurban,16700000, Approved
LP001507,Male,Yes,0,Graduate,No,2698,2034,360,1,Semiurban,17400000, Rejected
LP001508,Male,Yes,2,Graduate,No,11757,0,180,1,Urban,32100000, Approved
LP001514,Female,Yes,0,Graduate,No,2330,4486,360,1,Semiurban,1500000, Rejected
LP001516,Female,Yes,2,Graduate,No,14866,0,360,1,Urban,3200000, Approved
LP001518,Male,Yes,1,Graduate,No,1538,1425,360,1,Urban,11100000, Approved
LP001519,Female,No,0,Graduate,No,10000,1666,360,1,Rural,11900000, Approved
LP001520,Male,Yes,0,Graduate,No,4860,830,360,1,Semiurban,6200000, Rejected
LP001528,Male,No,0,Graduate,No,6277,0,360,0,Rural,19300000, Rejected
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,360,1,Rural,28800000, Approved
LP001531,Male,No,0,Graduate,No,9166,0,360,1,Urban,20600000, Approved
LP001532,Male,Yes,2,Not Graduate,No,2281,0,360,1,Rural,4500000, Rejected
LP001535,Male,No,0,Graduate,No,3254,0,360,1,Urban,35000000, Rejected
LP001536,Male,Yes,3+,Graduate,No,39999,0,180,0,Semiurban,11200000, Approved
LP001541,Male,Yes,1,Graduate,No,6000,0,360,,Rural,7700000, Approved
LP001543,Male,Yes,1,Graduate,No,9538,0,360,1,Urban,33300000, Rejected
LP001546,Male,No,0,Graduate,,2980,2083,360,1,Rural,1300000, Approved
LP001552,Male,Yes,0,Graduate,No,4583,5625,360,1,Semiurban,10600000, Rejected
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,360,1,Semiurban,9600000, Approved
LP001562,Male,Yes,0,Graduate,No,7933,0,360,1,Urban,15100000, Approved
LP001565,Male,Yes,1,Graduate,No,3089,1280,360,0,Semiurban,20600000, Rejected
LP001570,Male,Yes,2,Graduate,No,4167,1447,360,1,Rural,5300000, Approved
LP001572,Male,Yes,0,Graduate,No,9323,0,180,1,Urban,22300000, Approved
LP001574,Male,Yes,0,Graduate,No,3707,3166,,1,Rural,15900000, Approved
LP001577,Female,Yes,0,Graduate,No,4583,0,360,1,Rural,12800000, Approved
LP001578,Male,Yes,0,Graduate,No,2439,3333,360,1,Rural,6500000, Rejected
LP001579,Male,No,0,Graduate,No,2237,0,480,0,Semiurban,35200000, Rejected
LP001580,Male,Yes,2,Graduate,No,8000,0,360,1,Semiurban,17500000, Approved
LP001581,Male,Yes,0,Not Graduate,,1820,1769,360,1,Rural,10500000, Approved
LP001585,,Yes,3+,Graduate,No,51763,0,300,1,Urban,4100000, Approved
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,180,1,Rural,9500000, Approved
LP001594,Male,Yes,0,Graduate,No,5708,5625,360,1,Semiurban,28200000, Rejected
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,360,1,Semiurban,14300000, Rejected
LP001606,Male,Yes,0,Graduate,No,3497,1964,360,1,Rural,5300000, Approved
LP001608,Male,Yes,2,Graduate,No,2045,1619,360,1,Rural,27200000, Approved
LP001610,Male,Yes,3+,Graduate,No,5516,11300,360,0,Semiurban,8600000, Rejected
LP001616,Male,Yes,1,Graduate,No,3750,0,360,1,Semiurban,13300000, Approved
LP001630,Male,No,0,Not Graduate,No,2333,1451,480,0,Urban,13900000, Rejected
LP001633,Male,Yes,1,Graduate,No,6400,7250,360,0,Urban,17900000, Approved
LP001634,Male,No,0,Graduate,No,1916,5063,360,,Rural,2200000, Approved
LP001636,Male,Yes,0,Graduate,No,4600,0,180,1,Semiurban,9900000, Approved
LP001637,Male,Yes,1,Graduate,No,33846,0,360,1,Semiurban,23100000, Approved
LP001639,Female,Yes,0,Graduate,No,3625,0,360,1,Semiurban,3100000, Approved
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,360,1,Semiurban,10900000, Approved
LP001641,Male,Yes,1,Graduate,Yes,2178,0,300,0,Rural,5000000, Approved
LP001643,Male,Yes,0,Graduate,No,2383,2138,360,,Rural,30400000, Approved
LP001644,,Yes,0,Graduate,Yes,674,5296,360,1,Rural,23300000, Approved
LP001647,Male,Yes,0,Graduate,No,9328,0,180,1,Rural,19800000, Rejected
LP001653,Male,No,0,Not Graduate,No,4885,0,360,1,Rural,28200000, Rejected
LP001656,Male,No,0,Graduate,No,12000,0,360,1,Semiurban,6500000, Approved
LP001657,Male,Yes,0,Not Graduate,No,6033,0,360,1,Urban,2900000, Approved
LP001658,Male,No,0,Graduate,No,3858,0,360,1,Semiurban,13200000, Approved
LP001664,Male,No,0,Graduate,No,4191,0,360,1,Rural,18300000, Approved
LP001665,Male,Yes,1,Graduate,No,3125,2583,360,1,Semiurban,27100000, Rejected
LP001666,Male,No,0,Graduate,No,8333,3750,360,1,Rural,1500000, Approved
LP001669,Female,No,0,Not Graduate,No,1907,2365,,1,Urban,6000000, Approved
LP001671,Female,Yes,0,Graduate,No,3416,2816,360,,Semiurban,28900000, Rejected
LP001673,Male,No,0,Graduate,Yes,11000,0,360,1,Urban,16400000, Rejected
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,360,1,Semiurban,21200000, Rejected
LP001677,Male,No,2,Graduate,No,4923,0,360,0,Semiurban,8900000, Rejected
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,180,1,Urban,1500000, Approved
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,360,1,Urban,15600000, Rejected
LP001691,Male,Yes,2,Not Graduate,No,3917,0,360,1,Semiurban,30100000, Approved
LP001692,Female,No,0,Not Graduate,No,4408,0,360,1,Semiurban,6500000, Approved
LP001693,Female,No,0,Graduate,No,3244,0,360,1,Urban,20900000, Approved
LP001698,Male,No,0,Not Graduate,No,3975,2531,360,1,Rural,15400000, Approved
LP001699,Male,No,0,Graduate,No,2479,0,360,1,Urban,19100000, Rejected
LP001702,Male,No,0,Graduate,No,3418,0,360,1,Semiurban,3300000, Approved
LP001708,Female,No,0,Graduate,No,10000,0,360,1,Semiurban,15900000, Approved
LP001711,Male,Yes,3+,Graduate,No,3430,1250,360,0,Semiurban,6000000, Rejected
LP001713,Male,Yes,1,Graduate,Yes,7787,0,360,1,Urban,32700000, Rejected
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,360,1,Rural,7500000, Approved
LP001716,Male,Yes,0,Graduate,No,3173,3021,360,1,Urban,15200000, Approved
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,360,1,Semiurban,16400000, Approved
LP001722,Male,Yes,0,Graduate,No,150,1800,360,1,Rural,7800000, Approved
LP001726,Male,Yes,0,Graduate,No,3727,1775,360,1,Semiurban,21100000, Approved
LP001732,Male,Yes,2,Graduate,,5000,0,360,0,Semiurban,17000000, Approved
LP001734,Female,Yes,2,Graduate,No,4283,2383,360,,Semiurban,11300000, Rejected
LP001736,Male,Yes,0,Graduate,No,2221,0,360,0,Urban,10400000, Approved
LP001743,Male,Yes,2,Graduate,No,4009,1717,360,1,Semiurban,21200000, Approved
LP001744,Male,No,0,Graduate,No,2971,2791,360,1,Semiurban,12400000, Rejected
LP001749,Male,Yes,0,Graduate,No,7578,1010,,1,Semiurban,11000000, Rejected
LP001750,Male,Yes,0,Graduate,No,6250,0,360,1,Semiurban,1700000, Approved
LP001751,Male,Yes,0,Graduate,No,3250,0,360,1,Rural,15600000, Rejected
LP001754,Male,Yes,,Not Graduate,Yes,4735,0,360,1,Urban,20600000, Approved
LP001758,Male,Yes,2,Graduate,No,6250,1695,360,1,Semiurban,19100000, Approved
LP001760,Male,,,Graduate,No,4758,0,480,1,Semiurban,27000000, Approved
LP001761,Male,No,0,Graduate,Yes,6400,0,360,1,Rural,3500000, Rejected
LP001765,Male,Yes,1,Graduate,No,2491,2054,360,1,Semiurban,10900000, Approved
LP001768,Male,Yes,0,Graduate,,3716,0,180,1,Rural,32400000, Approved
LP001770,Male,No,0,Not Graduate,No,3189,2598,,1,Rural,6800000, Approved
LP001776,Female,No,0,Graduate,No,8333,0,360,1,Semiurban,34600000, Rejected
LP001778,Male,Yes,1,Graduate,No,3155,1779,360,1,Semiurban,7800000, Approved
LP001784,Male,Yes,1,Graduate,No,5500,1260,360,1,Rural,23400000, Approved
LP001786,Male,Yes,0,Graduate,,5746,0,360,,Urban,3500000, Rejected
LP001788,Female,No,0,Graduate,Yes,3463,0,360,,Urban,15500000, Approved
LP001790,Female,No,1,Graduate,No,3812,0,360,1,Rural,17500000, Approved
LP001792,Male,Yes,1,Graduate,No,3315,0,360,1,Semiurban,11600000, Rejected
LP001798,Male,Yes,2,Graduate,No,5819,5000,360,1,Rural,22500000, Approved
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,180,1,Urban,16200000, Rejected
LP001806,Male,No,0,Graduate,No,2965,5701,60,1,Urban,12900000, Approved
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,360,1,Rural,32400000, Approved
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,360,1,Semiurban,5100000, Approved
LP001813,Male,No,0,Graduate,Yes,6050,4333,180,1,Urban,28100000, Approved
LP001814,Male,Yes,2,Graduate,No,9703,0,360,1,Urban,29300000, Approved
LP001819,Male,Yes,1,Not Graduate,No,6608,0,180,1,Urban,27000000, Rejected
LP001824,Male,Yes,1,Graduate,No,2882,1843,480,1,Semiurban,20600000, Rejected
LP001825,Male,Yes,0,Graduate,No,1809,1868,360,1,Urban,5000000, Approved
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,360,0,Semiurban,16400000, Rejected
LP001836,Female,No,2,Graduate,No,3427,0,360,1,Urban,9100000, Approved
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,360,1,Rural,8500000, Approved
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,180,1,Semiurban,30900000, Approved
LP001844,Male,No,0,Graduate,Yes,16250,0,360,0,Urban,4700000, Rejected
LP001846,Female,No,3+,Graduate,No,3083,0,360,1,Rural,2400000, Rejected
LP001849,Male,No,0,Not Graduate,No,6045,0,360,0,Rural,35400000, Approved
LP001854,Male,Yes,3+,Graduate,No,5250,0,360,1,Urban,20000000, Rejected
LP001859,Male,Yes,0,Graduate,No,14683,2100,360,1,Rural,38800000, Approved
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,360,,Semiurban,1100000, Approved
LP001865,Male,Yes,1,Graduate,No,6083,4250,360,,Urban,8100000, Approved
LP001868,Male,No,0,Graduate,No,2060,2209,360,1,Semiurban,19600000, Approved
LP001870,Female,No,1,Graduate,No,3481,0,36,1,Semiurban,34300000, Rejected
LP001871,Female,No,0,Graduate,No,7200,0,360,1,Rural,22200000, Rejected
LP001872,Male,No,0,Graduate,Yes,5166,0,360,1,Semiurban,14400000, Approved
LP001875,Male,No,0,Graduate,No,4095,3447,360,1,Rural,19400000, Approved
LP001877,Male,Yes,2,Graduate,No,4708,1387,360,1,Semiurban,7400000, Approved
LP001882,Male,Yes,3+,Graduate,No,4333,1811,360,0,Urban,20900000, Approved
LP001883,Female,No,0,Graduate,,3418,0,360,1,Rural,16800000, Approved
LP001884,Female,No,1,Graduate,No,2876,1560,360,1,Urban,9400000, Approved
LP001888,Female,No,0,Graduate,No,3237,0,360,1,Urban,12200000, Rejected
LP001891,Male,Yes,0,Graduate,No,11146,0,360,1,Urban,27900000, Approved
LP001892,Male,No,0,Graduate,No,2833,1857,360,1,Rural,20400000, Rejected
LP001894,Male,Yes,0,Graduate,No,2620,2223,360,1,Semiurban,16700000, Rejected
LP001896,Male,Yes,2,Graduate,No,3900,0,360,1,Semiurban,4900000, Approved
LP001900,Male,Yes,1,Graduate,No,2750,1842,360,1,Semiurban,23000000, Approved
LP001903,Male,Yes,0,Graduate,No,3993,3274,360,1,Semiurban,4000000, Approved
LP001904,Male,Yes,0,Graduate,No,3103,1300,360,1,Urban,4900000, Approved
LP001907,Male,Yes,0,Graduate,No,14583,0,360,1,Semiurban,4700000, Approved
LP001908,Female,Yes,0,Not Graduate,No,4100,0,360,,Rural,15500000, Rejected
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,360,0,Urban,3600000, Approved
LP001914,Male,Yes,0,Graduate,No,3927,800,360,1,Semiurban,22500000, Rejected
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,180,1,Urban,7800000, Rejected
LP001917,Female,No,0,Graduate,No,1811,1666,360,1,Urban,19900000, Rejected
LP001922,Male,Yes,0,Graduate,No,20667,0,360,1,Rural,1800000, Rejected
LP001924,Male,No,0,Graduate,No,3158,3053,360,1,Rural,14000000, Rejected
LP001925,Female,No,0,Graduate,Yes,2600,1717,300,1,Semiurban,11800000, Approved
LP001926,Male,Yes,0,Graduate,No,3704,2000,360,1,Rural,13900000, Rejected
LP001931,Female,No,0,Graduate,No,4124,0,360,1,Semiurban,11300000, Approved
LP001935,Male,No,0,Graduate,No,9508,0,360,1,Rural,25500000, Rejected
LP001936,Male,Yes,0,Graduate,No,3075,2416,360,1,Rural,9300000, Rejected
LP001938,Male,Yes,2,Graduate,No,4400,0,360,0,Semiurban,19500000, Rejected
LP001940,Male,Yes,2,Graduate,No,3153,1560,360,1,Urban,10700000, Rejected
LP001945,Female,No,,Graduate,No,5417,0,480,0,Urban,7600000, Rejected
LP001947,Male,Yes,0,Graduate,No,2383,3334,360,1,Semiurban,20200000, Rejected
LP001949,Male,Yes,3+,Graduate,,4416,1250,360,1,Urban,1000000, Rejected
LP001953,Male,Yes,1,Graduate,No,6875,0,360,1,Semiurban,28900000, Rejected
LP001954,Female,Yes,1,Graduate,No,4666,0,360,1,Urban,12000000, Rejected
LP001955,Female,No,0,Graduate,No,5000,2541,480,1,Rural,2600000, Approved
LP001963,Male,Yes,1,Graduate,No,2014,2925,360,1,Urban,27100000, Approved
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,360,0,Urban,38200000, Approved
LP001972,Male,Yes,,Not Graduate,No,2875,1750,360,1,Semiurban,6600000, Rejected
LP001974,Female,No,0,Graduate,No,5000,0,360,1,Rural,6700000, Approved
LP001977,Male,Yes,1,Graduate,No,1625,1803,360,1,Urban,12900000, Approved
LP001978,Male,No,0,Graduate,No,4000,2500,360,1,Rural,23600000, Approved
LP001990,Male,No,0,Not Graduate,No,2000,0,360,1,Urban,18200000, Approved
LP001993,Female,No,0,Graduate,No,3762,1666,360,1,Rural,29300000, Approved
LP001994,Female,No,0,Graduate,No,2400,1863,360,0,Urban,4100000, Rejected
LP001996,Male,No,0,Graduate,No,20233,0,360,1,Rural,19900000, Rejected
LP001998,Male,Yes,2,Not Graduate,No,7667,0,360,,Rural,33200000, Rejected
LP002002,Female,No,0,Graduate,No,2917,0,360,1,Semiurban,24400000, Approved
LP002004,Male,No,0,Not Graduate,No,2927,2405,360,1,Semiurban,16800000, Rejected
LP002006,Female,No,0,Graduate,No,2507,0,360,1,Rural,5100000, Approved
LP002008,Male,Yes,2,Graduate,Yes,5746,0,84,,Rural,14100000, Approved
LP002024,,Yes,0,Graduate,No,2473,1843,360,1,Rural,28700000, Approved
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,180,1,Urban,14600000, Approved
LP002035,Male,Yes,2,Graduate,No,3717,0,360,1,Semiurban,4900000, Approved
